k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,time,embedding time,total time
20,0.0064,0.9578,0.9784,0.0941,-0.0466,0.0211,0.0241,0.0258,0.0249,0.1716,0.10,0.272
40,0.0070,0.9548,0.9769,0.1014,-0.0723,0.0229,0.0320,0.0284,0.0301,0.2338,0.10,0.334
60,0.0054,0.9550,0.9770,0.1061,-0.0884,0.0224,0.0375,0.0300,0.0334,0.3159,0.10,0.416
80,0.0053,0.9534,0.9762,0.1105,-0.0917,0.0237,0.0447,0.0333,0.0382,0.3348,0.10,0.435
100,0.0057,0.9509,0.9748,0.1145,-0.0967,0.0229,0.0489,0.0343,0.0403,0.3792,0.10,0.479
120,0.0049,0.9503,0.9745,0.1232,-0.1206,0.0253,0.0572,0.0385,0.0460,0.4107,0.10,0.511
140,0.0042,0.9502,0.9743,0.1201,-0.1104,0.0236,0.0595,0.0384,0.0467,0.4672,0.10,0.567
160,0.0037,0.9501,0.9742,0.1233,-0.1240,0.0238,0.0635,0.0408,0.0497,0.4802,0.10,0.580
180,0.0039,0.9477,0.9729,0.1276,-0.1108,0.0242,0.0683,0.0429,0.0527,0.5071,0.10,0.607
200,0.0038,0.9468,0.9723,0.1302,-0.1025,0.0253,0.0741,0.0455,0.0564,0.5365,0.10,0.636
