Random
K,Purity,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,Seeding
100,0.710629,0.118250,0.486676,0.485996,0.625436,0.398307,0.486676,0
200,0.745990,0.073169,0.481383,0.480137,0.677350,0.373364,0.481383,0
300,0.774268,0.054814,0.481295,0.479532,0.709312,0.364214,0.481295,0
400,0.779341,0.041157,0.473962,0.471679,0.722445,0.352664,0.473962,0
500,0.784788,0.033761,0.466583,0.463785,0.729788,0.342910,0.466583,0
600,0.795935,0.028493,0.464554,0.461283,0.741449,0.338238,0.464554,0
700,0.801656,0.025276,0.463013,0.459278,0.751875,0.334501,0.463013,0
800,0.806992,0.022656,0.460852,0.456658,0.758793,0.330917,0.460852,0
900,0.810587,0.020449,0.458635,0.453999,0.764354,0.327603,0.458635,0
1000,0.816143,0.018335,0.456417,0.451338,0.769589,0.324406,0.456417,0

K-Means++
K,Purity,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,Seeding
100,0.700409,0.109289,0.483907,0.483223,0.624861,0.394840,0.483907,1
200,0.753289,0.069169,0.485493,0.484256,0.683810,0.376346,0.485493,1
300,0.771894,0.055347,0.479337,0.477563,0.706071,0.362826,0.479337,1
400,0.787049,0.043085,0.475358,0.473077,0.724246,0.353781,0.475358,1
500,0.793989,0.037152,0.470801,0.468020,0.734803,0.346360,0.470801,1
600,0.800896,0.032464,0.468174,0.464913,0.745500,0.341234,0.468174,1
700,0.809650,0.029500,0.466648,0.462926,0.754868,0.337707,0.466648,1
800,0.811010,0.027057,0.464631,0.460455,0.761860,0.334234,0.464631,1
900,0.814896,0.024018,0.462218,0.457590,0.767904,0.330609,0.462218,1
1000,0.818491,0.021457,0.460029,0.454963,0.773134,0.327427,0.460029,1

K-Means||
K,Purity,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,Seeding
100,0.698857,0.111990,0.479432,0.478742,0.617570,0.391795,0.479432,2
200,0.753170,0.076032,0.484759,0.483518,0.681881,0.376048,0.484759,2
300,0.772384,0.051894,0.478039,0.476263,0.705646,0.361452,0.478039,2
400,0.783670,0.044469,0.472132,0.469836,0.719606,0.351314,0.472132,2
500,0.790399,0.035106,0.469531,0.466745,0.734552,0.345043,0.469531,2
600,0.795779,0.030871,0.464666,0.461383,0.741488,0.338349,0.464666,2
700,0.804534,0.027341,0.463329,0.459583,0.751450,0.334916,0.463329,2
800,0.810508,0.023726,0.460371,0.456165,0.757557,0.330656,0.460371,2
900,0.816022,0.022672,0.459419,0.454766,0.765149,0.328258,0.459419,2
1000,0.819749,0.018779,0.457473,0.452384,0.772173,0.325014,0.457473,2

SILK
K,Purity,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,Seeding
100,0.691890,0.135649,0.485846,0.485149,0.602914,0.406849,0.485846,3
200,0.721503,0.084828,0.475426,0.474142,0.646971,0.375786,0.475426,3
300,0.744876,0.071778,0.471833,0.469997,0.660478,0.367008,0.471833,3
400,0.743844,0.052138,0.464134,0.461772,0.675274,0.353580,0.464134,3
500,0.772502,0.044296,0.468093,0.465300,0.708612,0.349473,0.468093,3
600,0.775651,0.038952,0.464497,0.461218,0.714648,0.344063,0.464497,3
700,0.791803,0.033035,0.462554,0.458831,0.732660,0.337960,0.462554,3
800,0.788566,0.031488,0.456964,0.452755,0.724988,0.333625,0.456964,3
900,0.795570,0.029666,0.456760,0.452133,0.732742,0.331792,0.456760,3
1000,0.798535,0.025172,0.454325,0.449262,0.741621,0.327468,0.454325,3


100,0.681910,0.126028,0.473857,0.473147,0.592093,0.394982,0.473857,3
100,0.690584,0.128510,0.475634,0.474930,0.600420,0.393792,0.475634,3
100,0.691890,0.135649,0.485846,0.485149,0.602914,0.406849,0.485846,3
100,0.686905,0.122437,0.474834,0.474129,0.599661,0.393022,0.474834,3
100,0.675709,0.125543,0.477489,0.476786,0.599288,0.396836,0.477489,3
100,0.682046,0.127106,0.471094,0.470381,0.590862,0.391698,0.471094,3
100,0.680650,0.130528,0.480640,0.479934,0.595567,0.402894,0.480640,3
100,0.681116,0.121502,0.474262,0.473554,0.596265,0.393706,0.474262,3
100,0.693766,0.124539,0.481556,0.480860,0.608892,0.398267,0.481556,3
100,0.700630,0.130929,0.488478,0.487786,0.609435,0.407583,0.488478,3
100,0.691447,0.133635,0.476790,0.476087,0.601223,0.395032,0.476790,3
100,0.676991,0.105758,0.460838,0.460113,0.581504,0.381644,0.460838,3
100,0.709014,0.150827,0.493177,0.492490,0.613345,0.412382,0.493177,3
100,0.697717,0.134465,0.480678,0.479981,0.604853,0.398805,0.480678,3
100,0.697597,0.129157,0.482661,0.481966,0.608515,0.399944,0.482661,3
100,0.693092,0.140811,0.485953,0.485254,0.602667,0.407110,0.485953,3
100,0.704571,0.137055,0.490472,0.489787,0.617890,0.406621,0.490472,3

200,0.698475,0.075073,0.458852,0.457514,0.614821,0.366004,0.458852,3
200,0.712636,0.079420,0.466138,0.464824,0.627914,0.370644,0.466138,3
200,0.703895,0.089147,0.466725,0.465405,0.623968,0.372782,0.466725,3
200,0.704393,0.079618,0.464485,0.463164,0.622883,0.370314,0.464485,3
200,0.709416,0.090186,0.469028,0.467714,0.625635,0.375127,0.469028,3
200,0.704685,0.082948,0.463252,0.461929,0.621445,0.369255,0.463252,3
200,0.724957,0.076931,0.470416,0.469124,0.644748,0.370293,0.470416,3
200,0.721503,0.084828,0.475426,0.474142,0.646971,0.375786,0.475426,3
200,0.724999,0.084088,0.470387,0.469094,0.641112,0.371467,0.470387,3
200,0.720217,0.099165,0.474941,0.473656,0.644406,0.376048,0.474941,3
200,0.723746,0.082034,0.475030,0.473752,0.648865,0.374657,0.475030,3
200,0.721511,0.095564,0.477593,0.476302,0.635941,0.382381,0.477593,3
200,0.721464,0.085364,0.473382,0.472097,0.647360,0.373109,0.473382,3
200,0.699184,0.085175,0.467359,0.466041,0.623799,0.373652,0.467359,3

300,0.745261,0.060682,0.465394,0.463550,0.660449,0.359284,0.465394,3
300,0.744653,0.078711,0.473192,0.471352,0.660732,0.368576,0.473192,3
300,0.740880,0.063478,0.470194,0.468364,0.662770,0.364333,0.470194,3
300,0.737224,0.069722,0.470323,0.468486,0.660182,0.365275,0.470323,3
300,0.732961,0.059780,0.463307,0.461451,0.655003,0.358412,0.463307,3
300,0.744876,0.071778,0.471833,0.469997,0.660478,0.367008,0.471833,3
300,0.738555,0.066462,0.469685,0.467845,0.663216,0.363588,0.469685,3
300,0.739639,0.061466,0.465991,0.464150,0.660362,0.360022,0.465991,3
300,0.744048,0.057895,0.466614,0.464781,0.669082,0.358216,0.466614,3
300,0.739742,0.068266,0.473282,0.471459,0.667324,0.366665,0.473282,3
300,0.731540,0.061582,0.462656,0.460795,0.651939,0.358554,0.462656,3
300,0.743195,0.068094,0.471832,0.470006,0.665549,0.365460,0.471832,3

400,0.743844,0.052138,0.464134,0.461772,0.675274,0.353580,0.464134,3
400,0.751792,0.053649,0.465928,0.463578,0.678354,0.354817,0.465928,3
400,0.753407,0.052116,0.464774,0.462419,0.677213,0.353791,0.464774,3
400,0.752514,0.047916,0.462852,0.460505,0.687950,0.348743,0.462852,3
400,0.749554,0.047051,0.461690,0.459345,0.685663,0.348012,0.461690,3
400,0.762038,0.049330,0.468053,0.465733,0.695746,0.352644,0.468053,3
400,0.754426,0.051618,0.466979,0.464634,0.682808,0.354823,0.466979,3
400,0.760548,0.047659,0.466824,0.464501,0.695679,0.351268,0.466824,3
400,0.767000,0.058395,0.474324,0.472030,0.701133,0.358389,0.474324,3
400,0.769404,0.057056,0.472654,0.470348,0.699497,0.356910,0.472654,3
400,0.755721,0.048787,0.465690,0.463354,0.689726,0.351513,0.465690,3
400,0.755710,0.051348,0.466129,0.463793,0.688640,0.352296,0.466129,3

500,0.775604,0.044966,0.468662,0.465871,0.710012,0.349768,0.468662,3
500,0.772502,0.044296,0.468093,0.465300,0.708612,0.349473,0.468093,3
500,0.773719,0.042147,0.463942,0.461121,0.706540,0.345359,0.463942,3
500,0.777259,0.043345,0.468381,0.465589,0.713447,0.348628,0.468381,3
500,0.763437,0.045268,0.465571,0.462771,0.699284,0.348947,0.465571,3
500,0.774387,0.042525,0.466095,0.463291,0.711484,0.346565,0.466095,3
500,0.779704,0.042500,0.468266,0.465470,0.715447,0.348026,0.468266,3

600,0.785078,0.039107,0.466136,0.462875,0.724639,0.343572,0.466136,3
600,0.775651,0.038952,0.464497,0.461218,0.714648,0.344063,0.464497,3
600,0.782767,0.039288,0.465407,0.462148,0.721414,0.343507,0.465407,3
600,0.781481,0.039868,0.465719,0.462453,0.718091,0.344607,0.465719,3
600,0.778169,0.037059,0.460937,0.457645,0.715453,0.339989,0.460937,3
600,0.780435,0.038446,0.464628,0.461347,0.717914,0.343455,0.464628,3
600,0.783382,0.035269,0.462440,0.459168,0.719774,0.340651,0.462440,3

700,0.779392,0.037928,0.460328,0.456573,0.715506,0.339315,0.460328,3
700,0.793782,0.030271,0.463275,0.459566,0.735585,0.338109,0.463275,3
700,0.781732,0.037727,0.460590,0.456832,0.715623,0.339573,0.460590,3
700,0.789537,0.032162,0.461167,0.457436,0.730700,0.336897,0.461167,3
700,0.786757,0.030822,0.458615,0.454879,0.725732,0.335229,0.458615,3
700,0.789509,0.032203,0.462353,0.458635,0.732848,0.337705,0.462353,3
700,0.780654,0.038005,0.461128,0.457376,0.715770,0.340125,0.461128,3
700,0.791803,0.033035,0.462554,0.458831,0.732660,0.337960,0.462554,3

800,0.794104,0.025976,0.456295,0.452098,0.737190,0.330401,0.456295,3
800,0.795515,0.028491,0.459926,0.455759,0.740669,0.333511,0.459926,3
800,0.785937,0.032075,0.458598,0.454411,0.727103,0.334919,0.458598,3
800,0.783559,0.033745,0.456960,0.452753,0.721144,0.334441,0.456960,3
800,0.795729,0.027845,0.459743,0.455568,0.740595,0.333334,0.459743,3
800,0.790391,0.027279,0.458669,0.454496,0.738749,0.332579,0.458669,3
800,0.788566,0.031488,0.456964,0.452755,0.724988,0.333625,0.456964,3
800,0.785278,0.034544,0.460583,0.456393,0.726839,0.337097,0.460583,3
800,0.793853,0.026564,0.458228,0.454051,0.739007,0.332064,0.458228,3
800,0.797809,0.027424,0.459349,0.455168,0.740246,0.332991,0.459349,3

900,0.795570,0.029666,0.456760,0.452133,0.732742,0.331792,0.456760,3
900,0.786755,0.030318,0.455016,0.450371,0.727739,0.330980,0.455016,3
900,0.802738,0.024279,0.456357,0.451737,0.745122,0.328897,0.456357,3
900,0.790728,0.028477,0.456955,0.452330,0.734152,0.331710,0.456955,3
900,0.798788,0.024717,0.455958,0.451335,0.743610,0.328777,0.455958,3
900,0.791292,0.029084,0.456182,0.451554,0.732853,0.331161,0.456182,3
900,0.797071,0.025057,0.455683,0.451044,0.744897,0.328241,0.455683,3
900,0.791192,0.028956,0.455536,0.450892,0.732724,0.330507,0.455536,3

1000,0.796436,0.026065,0.452675,0.447596,0.737033,0.326650,0.452675,3
1000,0.792020,0.025284,0.452681,0.447599,0.737829,0.326499,0.452681,3
1000,0.797157,0.024771,0.452399,0.447307,0.738919,0.325994,0.452399,3
1000,0.793888,0.024793,0.451855,0.446766,0.737242,0.325755,0.451855,3
1000,0.792267,0.026001,0.453522,0.448450,0.738362,0.327270,0.453522,3
1000,0.798535,0.025172,0.454325,0.449262,0.741621,0.327468,0.454325,3
1000,0.691890,0.135649,0.485846,0.485149,0.602914,0.406849,0.485846,3
