K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
200,0.08569,0.569615,0.74077,0.725802,18.11,18.01,0.2,0.2,3
200,0.082813,0.568236,0.738977,0.742464,18.23,18.12,0.2,0.2,3
200,0.081274,0.566493,0.73611,0.721054,18.47,18.41,0.2,0.2,3
200,0.079108,0.570139,0.740173,0.720932,18.53,18.46,0.2,0.2,3
200,0.076159,0.567782,0.738923,0.718272,18.11,18.05,0.2,0.2,3
200,0.074827,0.568205,0.73811,0.719839,18.3,18.18,0.2,0.2,3
200,0.078293,0.567774,0.738129,0.727281,18.16,18.09,0.2,0.2,3
200,0.078935,0.568355,0.739627,0.730473,19.05,18.99,0.2,0.2,3
200,0.07704,0.569184,0.738837,0.719386,18.08,18.03,0.2,0.2,3
200,0.076629,0.567336,0.738293,0.727558,18.31,18.21,0.2,0.2,3
200,0.075855,0.567013,0.737427,0.725581,18.67,18.6,0.2,0.2,3
200,0.082398,0.569865,0.738694,0.710543,18.43,18.37,0.2,0.2,3
200,0.077782,0.567482,0.738275,0.724143,18.35,18.27,0.2,0.2,3
200,0.086803,0.570057,0.739633,0.713863,18.21,18.15,0.2,0.2,3
200,0.082335,0.567897,0.738914,0.735522,19.13,19.04,0.2,0.2,3
200,0.079823,0.570121,0.741164,0.725629,19.17,19.05,0.2,0.2,3
200,0.083189,0.569227,0.739598,0.723581,18.75,18.68,0.2,0.2,3
200,0.077838,0.568874,0.740363,0.726625,18.37,18.31,0.2,0.2,3
200,0.079078,0.56878,0.738903,0.715525,18.44,18.33,0.2,0.2,3
200,0.074947,0.568224,0.738256,0.726343,18.93,18.88,0.2,0.2,3
200,0.076461,0.56884,0.739207,0.719841,18.51,18.45,0.2,0.2,3
200,0.074945,0.568625,0.739486,0.71991,18.52,18.46,0.2,0.2,3
200,0.084409,0.567693,0.738293,0.721887,18.77,18.71,0.2,0.2,3
200,0.076684,0.566486,0.737074,0.722596,18.75,18.69,0.2,0.2,3
200,0.086813,0.567612,0.737889,0.717875,18.87,18.81,0.2,0.2,3
200,0.075363,0.568864,0.738913,0.718792,18.92,18.85,0.2,0.2,3
200,0.078522,0.565395,0.736093,0.731302,18.63,18.57,0.2,0.2,3
200,0.075721,0.568389,0.738862,0.718337,18.34,18.28,0.2,0.2,3
200,0.081945,0.568757,0.73923,0.726856,18.92,18.82,0.2,0.2,3
200,0.084846,0.567406,0.739019,0.730186,19.18,19.08,0.2,0.2,3
200,0.078896,0.567115,0.737644,0.718127,18.62,18.56,0.2,0.2,3
200,0.077704,0.566897,0.738002,0.731682,18.87,18.75,0.2,0.2,3
200,0.087111,0.567972,0.738978,0.726547,19.09,18.96,0.2,0.2,3
200,0.078493,0.570652,0.740883,0.724446,19.33,19.21,0.2,0.2,3
200,0.076779,0.568283,0.738994,0.723692,19.27,19.15,0.2,0.2,3
200,0.074473,0.568157,0.738498,0.718187,18.93,18.79,0.2,0.2,3
200,0.087045,0.567138,0.737755,0.726856,18.69,18.6,0.2,0.2,3
200,0.082689,0.570301,0.740977,0.723755,19.02,18.94,0.2,0.2,3
200,0.075469,0.568426,0.73887,0.721479,19.06,18.98,0.2,0.2,3
200,0.07968,0.568171,0.739289,0.721589,19.12,19.04,0.2,0.2,3
200,0.078656,0.569004,0.738875,0.73769,19.1,19.03,0.2,0.2,3
200,0.086018,0.569658,0.739452,0.716598,19.39,19.32,0.2,0.2,3
200,0.087874,0.570591,0.741162,0.714089,19.03,18.97,0.2,0.2,3
200,0.082809,0.569961,0.739619,0.721675,19.31,19.24,0.2,0.2,3
200,0.08192,0.568585,0.739284,0.738089,19.08,19.03,0.2,0.2,3
200,0.076393,0.568422,0.739598,0.71912,19.5,19.43,0.2,0.2,3
200,0.076401,0.570054,0.739206,0.715989,19.25,19.18,0.2,0.2,3
200,0.089365,0.567924,0.738232,0.724798,19.26,19.18,0.2,0.2,3
200,0.073004,0.570518,0.740025,0.700669,19.44,19.35,0.2,0.2,3
200,0.074253,0.56945,0.739895,0.719341,19.39,19.33,0.2,0.2,3
200,0.081649,0.567448,0.738408,0.739819,19.55,19.48,0.2,0.2,3
200,0.085401,0.56721,0.73859,0.733938,19.07,18.99,0.2,0.2,3
200,0.076689,0.569203,0.73918,0.730344,19.37,19.28,0.2,0.2,3
200,0.075736,0.568836,0.738644,0.719189,19.24,19.17,0.2,0.2,3
200,0.076497,0.567294,0.737934,0.729599,19.15,19.08,0.2,0.2,3
200,0.085954,0.568994,0.740662,0.722889,19.3,19.23,0.2,0.2,3
200,0.082204,0.571114,0.74148,0.712451,19.23,19.15,0.2,0.2,3
200,0.08005,0.569717,0.739401,0.71619,19.55,19.47,0.2,0.2,3
200,0.074956,0.568803,0.739653,0.729016,19.63,19.55,0.2,0.2,3
200,0.078198,0.567585,0.738019,0.728179,19.22,19.17,0.2,0.2,3
200,0.087565,0.570062,0.739786,0.720526,19.23,19.15,0.2,0.2,3
