SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
150,0.10105,0.581859,0.749144,0.714067,16.24,16.15,0.2,0.2,3
150,0.100567,0.584331,0.75079,0.691053,15.51,15.45,0.2,0.2,3
150,0.090222,0.581611,0.749242,0.702566,15.75,15.68,0.2,0.2,3
150,0.090536,0.580619,0.748084,0.703519,16.12,16.07,0.2,0.2,3
150,0.103276,0.581246,0.749088,0.720488,16.27,16.22,0.2,0.2,3
150,0.093572,0.583695,0.750444,0.702294,15.84,15.79,0.2,0.2,3
150,0.100669,0.583895,0.751393,0.712123,15.89,15.82,0.2,0.2,3
150,0.104431,0.582049,0.749368,0.712022,15.92,15.85,0.2,0.2,3
150,0.115051,0.583254,0.7494,0.704642,16.12,16.06,0.2,0.2,3
150,0.0919,0.581999,0.74943,0.699711,16.16,16.1,0.2,0.2,3
150,0.115104,0.586494,0.754071,0.704116,16.18,16.11,0.2,0.2,3
150,0.09936,0.582606,0.750629,0.711144,16.2,16.15,0.2,0.2,3
150,0.088829,0.583244,0.749794,0.698613,15.9,15.84,0.2,0.2,3
150,0.097902,0.583788,0.751506,0.700418,16.09,16.03,0.2,0.2,3
150,0.093687,0.58444,0.749662,0.683862,16.19,16.12,0.2,0.2,3
150,0.091275,0.581553,0.748987,0.720382,15.55,15.49,0.2,0.2,3
150,0.100224,0.582501,0.748844,0.702792,15.45,15.38,0.2,0.2,3
150,0.110309,0.58378,0.750329,0.702311,16.3,16.24,0.2,0.2,3
150,0.092865,0.581203,0.747317,0.701609,16.1,16.05,0.2,0.2,3
150,0.091276,0.581741,0.748771,0.696292,16.04,15.98,0.2,0.2,3
150,0.095491,0.582506,0.749291,0.709757,15.9,15.84,0.2,0.2,3
150,0.099262,0.582882,0.751054,0.719633,16.05,15.99,0.2,0.2,3
150,0.093995,0.582006,0.749245,0.708654,16.26,16.19,0.2,0.2,3
150,0.101642,0.580687,0.748361,0.725216,16.09,16.04,0.2,0.2,3
150,0.101642,0.580687,0.748361,0.725216,16.26,16.19,0.2,0.2,3
150,0.095284,0.581917,0.749447,0.7197,16.28,16.2,0.2,0.2,3
