SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.216342,0.634582,0.788332,0.658863,12.12,12.05,0.2,0.2,3
50,0.149735,0.631094,0.784278,0.624244,12.24,12.19,0.2,0.2,3
50,0.155811,0.63232,0.785092,0.617346,12.8,12.75,0.2,0.2,3
50,0.181708,0.636462,0.789023,0.634118,12.37,12.31,0.2,0.2,3
50,0.17568,0.638097,0.790227,0.611917,12.37,12.29,0.2,0.2,3
50,0.1786,0.631051,0.784283,0.635917,11.66,11.61,0.2,0.2,3
50,0.158086,0.63216,0.785634,0.628488,12.47,12.42,0.2,0.2,3
50,0.16941,0.633071,0.786307,0.640856,12.65,12.55,0.2,0.2,3
50,0.187593,0.634678,0.788514,0.631461,12.48,12.43,0.2,0.2,3
50,0.180415,0.629769,0.784617,0.643977,12.38,12.29,0.2,0.2,3
50,0.159607,0.631188,0.78422,0.631953,13.06,13.01,0.2,0.2,3
50,0.165796,0.633031,0.785337,0.623515,12.57,12.49,0.2,0.2,3
50,0.161441,0.634624,0.787061,0.632753,12.57,12.53,0.2,0.2,3
50,0.161395,0.629084,0.783041,0.633573,13.01,12.92,0.2,0.2,3
50,0.148616,0.630874,0.785572,0.621389,12.32,12.26,0.2,0.2,3
50,0.178161,0.630618,0.783387,0.640369,12.88,12.79,0.2,0.2,3
50,0.174583,0.635136,0.788799,0.645059,12.55,12.51,0.2,0.2,3
50,0.14883,0.630003,0.78346,0.611322,12.42,12.35,0.2,0.2,3
50,0.167,0.632161,0.785622,0.634576,12.81,12.75,0.2,0.2,3
50,0.19306,0.634263,0.786366,0.635314,12.91,12.82,0.2,0.2,3
50,0.136294,0.63067,0.78412,0.61436,12.86,12.82,0.2,0.2,3
50,0.172776,0.636645,0.789192,0.618056,12.76,12.64,0.2,0.2,3
50,0.165742,0.633358,0.786751,0.628495,13.08,13.04,0.2,0.2,3
50,0.167064,0.635839,0.789546,0.623543,12.94,12.89,0.2,0.2,3
50,0.175209,0.633114,0.787222,0.648339,12.41,12.34,0.2,0.2,3



100,0.109027,0.601819,0.763179,0.671457,14.23,14.17,0.2,0.2,3
100,0.11073,0.602382,0.764556,0.668422,14.1,14.03,0.2,0.2,3
100,0.115501,0.601966,0.764365,0.670287,14.37,14.31,0.2,0.2,3
100,0.102836,0.601231,0.76354,0.666269,14.25,14.19,0.2,0.2,3
100,0.110252,0.601114,0.763048,0.667568,14.42,14.37,0.2,0.2,3
100,0.113786,0.602314,0.763407,0.673786,14.77,14.7,0.2,0.2,3
100,0.126592,0.601417,0.763211,0.675201,14.57,14.49,0.2,0.2,3
100,0.114302,0.60041,0.762594,0.688921,14.62,14.56,0.2,0.2,3
100,0.111294,0.602254,0.763838,0.66247,14.52,14.44,0.2,0.2,3
100,0.132774,0.606738,0.768255,0.692124,14.46,14.41,0.2,0.2,3
100,0.111982,0.601295,0.763357,0.664921,14.44,14.36,0.2,0.2,3
100,0.135349,0.602091,0.763791,0.675754,15.01,14.96,0.2,0.2,3
100,0.120006,0.599375,0.762212,0.688509,14.72,14.65,0.2,0.2,3
100,0.12303,0.601659,0.762723,0.681773,14.39,14.31,0.2,0.2,3
100,0.144334,0.604283,0.765148,0.691636,14.24,14.19,0.2,0.2,3
100,0.109651,0.601462,0.763885,0.671603,14.74,14.69,0.2,0.2,3
100,0.114331,0.599582,0.762125,0.684862,14.93,14.87,0.2,0.2,3
100,0.109053,0.600832,0.762617,0.676707,14.71,14.6,0.2,0.2,3
100,0.104313,0.60026,0.76184,0.663622,14.73,14.67,0.2,0.2,3
100,0.11948,0.599961,0.762036,0.672395,14.22,14.17,0.2,0.2,3
100,0.129435,0.601925,0.764282,0.674278,14.4,14.34,0.2,0.2,3
100,0.125996,0.604378,0.765883,0.669394,14.29,14.23,0.2,0.2,3
100,0.120944,0.601692,0.764073,0.67965,14.9,14.84,0.2,0.2,3
100,0.126155,0.604311,0.766688,0.687386,14.97,14.92,0.2,0.2,3
100,0.130559,0.605213,0.766141,0.660417,15.35,15.29,0.2,0.2,3
100,0.132309,0.604043,0.765953,0.68486,14.73,14.69,0.2,0.2,3
100,0.108073,0.599566,0.76209,0.67106,14.91,14.85,0.2,0.2,3
100,0.110261,0.603366,0.765313,0.664307,15.29,15.17,0.2,0.2,3
100,0.112663,0.602502,0.764167,0.665732,14.89,14.78,0.2,0.2,3
100,0.118156,0.599934,0.762757,0.691235,15.85,15.78,0.2,0.2,3

150,0.092472,0.582753,0.750862,0.712968,16.23,16.14,0.2,0.2,3
150,0.09065,0.582606,0.749557,0.699426,16.43,16.38,0.2,0.2,3
150,0.092175,0.58211,0.748671,0.701313,16.71,16.65,0.2,0.2,3
150,0.097778,0.58311,0.750404,0.710429,16.2,16.12,0.2,0.2,3
150,0.091725,0.581304,0.748519,0.700358,16.86,16.8,0.2,0.2,3
150,0.09438,0.581089,0.7476,0.710903,15.82,15.75,0.2,0.2,3
150,0.088768,0.582705,0.748413,0.703285,17.2,17.09,0.2,0.2,3
150,0.111,0.582669,0.749407,0.706864,16.14,16.05,0.2,0.2,3
150,0.105106,0.583808,0.750461,0.695064,16.23,16.15,0.2,0.2,3
150,0.08777,0.584128,0.751074,0.696322,16.86,16.8,0.2,0.2,3
150,0.092657,0.579419,0.747647,0.723548,16.42,16.36,0.2,0.2,3
150,0.092776,0.580686,0.747474,0.711807,16.21,16.13,0.2,0.2,3
150,0.10244,0.585191,0.751303,0.695124,16.55,16.48,0.2,0.2,3
150,0.095054,0.58353,0.750131,0.699774,16.88,16.82,0.2,0.2,3
150,0.087041,0.582196,0.749386,0.701414,17.42,17.36,0.2,0.2,3
150,0.08996,0.581325,0.748576,0.70092,16.48,16.41,0.2,0.2,3
150,0.099357,0.582562,0.749116,0.704026,16.49,16.37,0.2,0.2,3
150,0.089496,0.580466,0.747228,0.703725,16.63,16.57,0.2,0.2,3
150,0.097543,0.581308,0.748326,0.702397,17.2,17.12,0.2,0.2,3
150,0.090145,0.581208,0.748007,0.709405,16.59,16.54,0.2,0.2,3
150,0.098501,0.58268,0.750206,0.711519,17.21,17.16,0.2,0.2,3
150,0.088431,0.58041,0.74733,0.71036,16.5,16.43,0.2,0.2,3

200,0.077929,0.567438,0.738245,0.720015,18.2,18.12,0.2,0.2,3
200,0.075312,0.568318,0.738064,0.70901,18.2,18.13,0.2,0.2,3
200,0.07704,0.569184,0.738837,0.719386,18.03,17.96,0.2,0.2,3
200,0.082398,0.569865,0.738694,0.710543,18.46,18.4,0.2,0.2,3
200,0.083189,0.569227,0.739598,0.723581,18.58,18.51,0.2,0.2,3
200,0.076461,0.56884,0.739207,0.719841,19.64,19.43,0.2,0.2,3
200,0.084409,0.567693,0.738293,0.721887,20.48,19.7,0.2,0.2,3
200,0.081945,0.568757,0.73923,0.726856,20.4,20.13,0.2,0.2,3
200,0.074473,0.568157,0.738498,0.718187,20.56,19.91,0.2,0.2,3
200,0.082689,0.570301,0.740977,0.723755,19.95,19.51,0.2,0.2,3
200,0.075469,0.568426,0.73887,0.721479,19.9,19.74,0.2,0.2,3
200,0.086018,0.569658,0.739452,0.716598,20.33,20.19,0.2,0.2,3
200,0.082809,0.569961,0.739619,0.721675,20.11,19.88,0.2,0.2,3
200,0.076401,0.570054,0.739206,0.715989,20.22,19.73,0.2,0.2,3
200,0.073004,0.570518,0.740025,0.700669,20.62,20.17,0.2,0.2,3
200,0.075736,0.568836,0.738644,0.719189,20.47,19.76,0.2,0.2,3
200,0.082204,0.571114,0.74148,0.712451,20.72,19.91,0.2,0.2,3
200,0.08005,0.569717,0.739401,0.71619,20.83,20.41,0.2,0.2,3
200,0.078198,0.567585,0.738019,0.728179,19.73,19.25,0.2,0.2,3
200,0.073443,0.568232,0.738138,0.729932,19.84,19.68,0.2,0.2,3
200,0.082175,0.567404,0.738169,0.720822,20.43,20.22,0.2,0.2,3
200,0.077968,0.569119,0.739347,0.719721,20.99,20.45,0.2,0.2,3
200,0.076129,0.567959,0.738031,0.716957,20.66,20.12,0.2,0.2,3
200,0.07897,0.568683,0.73779,0.717616,21,20.26,0.2,0.2,3
200,0.073755,0.568512,0.739394,0.726977,21.36,20.95,0.2,0.2,3
200,0.078609,0.568108,0.739546,0.710978,20.98,20.61,0.2,0.2,3
200,0.073259,0.569124,0.73847,0.711627,21.21,21.03,0.2,0.2,3
200,0.076598,0.569284,0.739197,0.706956,20.03,19.95,0.2,0.2,3

250,0.06856,0.556092,0.728834,0.738495,21.13,21.06,0.2,0.2,3
250,0.068186,0.55754,0.731606,0.742397,21.85,21.78,0.2,0.2,3
250,0.064775,0.555872,0.728453,0.738729,21.29,21.21,0.2,0.2,3
250,0.067255,0.558032,0.730968,0.735691,22.04,21.95,0.2,0.2,3
250,0.06393,0.557549,0.730198,0.736076,21.85,21.77,0.2,0.2,3
250,0.064238,0.556825,0.729444,0.729791,21.49,21.42,0.2,0.2,3
250,0.063991,0.556551,0.729348,0.73743,22.21,22.14,0.2,0.2,3
250,0.061602,0.55584,0.728773,0.708839,21.43,21.36,0.2,0.2,3
250,0.062565,0.558763,0.731933,0.73128,22.72,22.64,0.2,0.2,3
250,0.064781,0.55678,0.730652,0.736089,21.96,21.88,0.2,0.2,3
250,0.068399,0.55735,0.729842,0.726169,21.9,21.83,0.2,0.2,3
250,0.067667,0.557662,0.73027,0.724017,22.37,22.29,0.2,0.2,3
250,0.063926,0.556362,0.73009,0.741075,23.11,23.04,0.2,0.2,3
250,0.066463,0.557538,0.73015,0.726418,22.59,22.51,0.2,0.2,3
250,0.065696,0.555074,0.728483,0.735666,22.68,22.62,0.2,0.2,3
