#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
2794,9.66,0.522037,0.885285,2809,0.693705,0.538255,8,4,-1.00,10,8,4,1,10,0.9,0.8,0.2,0.2,28216,17195,3048,0.65,0.06,8.95,0.67
870,2.90,0.597254,0.940212,872,0.737413,0.588479,8,4,-1.00,10,8,4,1,30,0.9,0.8,0.2,0.2,28216,5407,949,0.65,0.05,2.20,0.68
446,1.85,0.649106,0.953777,446,0.764039,0.619435,8,4,-1.00,10,8,4,1,50,0.9,0.8,0.2,0.2,28216,2709,484,0.63,0.04,1.18,0.69
2303,7.95,0.541561,0.896747,2314,0.704817,0.550379,8,4,-1.00,10,8,6,1,10,0.9,0.8,0.2,0.2,28216,15232,2499,0.64,0.04,7.27,0.67
740,2.60,0.605795,0.944156,740,0.744237,0.595883,8,4,-1.00,10,8,6,1,30,0.9,0.8,0.2,0.2,28216,4984,802,0.62,0.03,1.95,0.67
376,1.66,0.679887,0.963758,376,0.776024,0.632227,8,4,-1.00,10,8,6,1,50,0.9,0.8,0.2,0.2,28216,2599,408,0.62,0.04,1.00,0.67
2900,10.06,0.512338,0.880236,2916,0.691197,0.535613,8,4,-1.00,10,10,4,1,10,0.9,0.8,0.2,0.2,28216,21490,3167,0.63,0.06,9.37,0.66
918,3.02,0.586087,0.936379,920,0.734568,0.585292,8,4,-1.00,10,10,4,1,30,0.9,0.8,0.2,0.2,28216,6765,1005,0.61,0.06,2.35,0.68
474,1.99,0.634819,0.950171,474,0.761797,0.617536,8,4,-1.00,10,10,4,1,50,0.9,0.8,0.2,0.2,28216,3406,518,0.63,0.06,1.30,0.70
2375,8.16,0.538818,0.894202,2387,0.703518,0.549336,8,4,-1.00,10,10,6,1,10,0.9,0.8,0.2,0.2,28216,19026,2581,0.63,0.05,7.48,0.66
760,2.65,0.604877,0.944120,760,0.742550,0.594002,8,4,-1.00,10,10,6,1,30,0.9,0.8,0.2,0.2,28216,6222,824,0.64,0.06,1.95,0.68
386,1.70,0.678330,0.962897,386,0.775034,0.631430,8,4,-1.00,10,10,6,1,50,0.9,0.8,0.2,0.2,28216,3229,417,0.64,0.04,1.02,0.70
3026,10.55,0.506669,0.874460,3046,0.688514,0.532153,8,4,-1.00,10,12,4,1,10,0.9,0.8,0.2,0.2,28216,25827,3322,0.60,0.08,9.87,0.67
957,3.25,0.579196,0.933003,959,0.732284,0.582590,8,4,-1.00,10,12,4,1,30,0.9,0.8,0.2,0.2,28216,8135,1052,0.64,0.06,2.55,0.68
500,2.04,0.629787,0.950710,500,0.759077,0.614603,8,4,-1.00,10,12,4,1,50,0.9,0.8,0.2,0.2,28216,4111,549,0.63,0.07,1.34,0.71
2463,8.42,0.523934,0.886181,2476,0.700660,0.546587,8,4,-1.00,10,12,6,1,10,0.9,0.8,0.2,0.2,28216,22843,2689,0.64,0.06,7.72,0.66
791,2.76,0.586000,0.941567,792,0.738337,0.589054,8,4,-1.00,10,12,6,1,30,0.9,0.8,0.2,0.2,28216,7485,862,0.62,0.05,2.09,0.69
400,1.76,0.663496,0.961679,401,0.769113,0.624657,8,4,-1.00,10,12,6,1,50,0.9,0.8,0.2,0.2,28216,3886,435,0.63,0.06,1.07,0.68
1002,3.35,0.614744,0.941835,1004,0.734424,0.583414,8,4,-1.00,30,8,4,1,10,0.9,0.8,0.2,0.2,7186,6004,1095,0.64,0.02,2.69,0.65
865,2.90,0.636113,0.946965,867,0.743186,0.593135,8,4,-1.00,30,8,4,1,30,0.9,0.8,0.2,0.2,7186,5625,942,0.63,0.03,2.24,0.65
440,1.75,0.679242,0.957944,441,0.769257,0.624198,8,4,-1.00,30,8,4,1,50,0.9,0.8,0.2,0.2,7186,2715,478,0.62,0.02,1.11,0.65
804,2.73,0.645534,0.951600,804,0.747791,0.598544,8,4,-1.00,30,8,6,1,10,0.9,0.8,0.2,0.2,7186,5276,873,0.62,0.03,2.08,0.64
737,2.47,0.656009,0.953594,737,0.753661,0.605119,8,4,-1.00,30,8,6,1,30,0.9,0.8,0.2,0.2,7186,5097,798,0.63,0.02,1.82,0.64
