#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
296,1.43,0.7217,0.9615,296,0.7981,0.6581,8,6,-1.00,30,8,6,1,50,0.9,0.8,0.2,0.2,4090,2045,316,0.63,0.03,0.77,0.64
296,1.49,0.7217,0.9615,296,0.7981,0.6581,8,6,-1.00,10,8,6,1,50,0.9,0.8,0.2,0.2,15002,2043,316,0.64,0.04,0.81,0.64
297,1.41,0.7232,0.9617,297,0.7992,0.6596,8,6,-1.00,10,10,6,1,50,0.9,0.8,0.2,0.2,15002,2558,318,0.59,0.04,0.78,0.67
297,1.45,0.7232,0.9617,297,0.7992,0.6596,8,6,-1.00,30,10,6,1,50,0.9,0.8,0.2,0.2,4090,2560,318,0.64,0.02,0.79,0.65
300,1.39,0.7235,0.9618,300,0.7988,0.6589,8,6,-1.00,50,10,6,1,50,0.9,0.8,0.2,0.2,2077,2647,321,0.64,0.01,0.74,0.67
300,1.40,0.7217,0.9616,300,0.7976,0.6575,8,6,-1.00,50,8,6,1,50,0.9,0.8,0.2,0.2,2077,2116,320,0.63,0.01,0.76,0.65
304,1.49,0.7222,0.9651,305,0.7979,0.6583,8,6,-1.00,30,12,6,1,50,0.9,0.8,0.2,0.2,4090,3080,329,0.62,0.04,0.83,0.65
304,1.56,0.7222,0.9651,305,0.7979,0.6583,8,6,-1.00,10,12,6,1,50,0.9,0.8,0.2,0.2,15002,3077,329,0.64,0.04,0.88,0.65
306,1.44,0.7225,0.9651,307,0.7977,0.6580,8,6,-1.00,50,12,6,1,50,0.9,0.8,0.2,0.2,2077,3180,331,0.63,0.02,0.79,0.65
326,1.60,0.7107,0.9642,326,0.7893,0.6480,8,6,-1.00,10,8,4,1,50,0.9,0.8,0.2,0.2,15002,2161,352,0.66,0.04,0.90,0.67
327,1.54,0.7114,0.9642,327,0.7893,0.6480,8,6,-1.00,30,8,4,1,50,0.9,0.8,0.2,0.2,4090,2178,353,0.62,0.02,0.90,0.64
331,1.50,0.7128,0.9639,331,0.7891,0.6477,8,6,-1.00,50,8,4,1,50,0.9,0.8,0.2,0.2,2077,2318,357,0.62,0.02,0.86,0.64
333,1.49,0.7091,0.9593,333,0.7910,0.6493,8,6,-1.00,50,8,6,1,30,0.9,0.8,0.2,0.2,2077,2204,356,0.62,0.02,0.85,0.66
334,1.49,0.7092,0.9594,334,0.7909,0.6492,8,6,-1.00,50,8,6,1,10,0.9,0.8,0.2,0.2,2077,2204,357,0.62,0.02,0.85,0.64
335,1.55,0.7107,0.9599,335,0.7886,0.6469,8,6,-1.00,10,10,4,1,50,0.9,0.8,0.2,0.2,15002,2692,363,0.63,0.05,0.87,0.65
336,1.57,0.7114,0.9599,336,0.7886,0.6470,8,6,-1.00,30,10,4,1,50,0.9,0.8,0.2,0.2,4090,2710,364,0.67,0.02,0.88,0.66
338,1.57,0.7117,0.9600,338,0.7884,0.6466,8,6,-1.00,50,10,4,1,50,0.9,0.8,0.2,0.2,2077,2888,366,0.64,0.01,0.92,0.65
340,1.53,0.7086,0.9596,340,0.7900,0.6481,8,6,-1.00,50,10,6,1,30,0.9,0.8,0.2,0.2,2077,2762,363,0.62,0.02,0.89,0.64
340,1.54,0.7086,0.9596,340,0.7900,0.6481,8,6,-1.00,50,10,6,1,10,0.9,0.8,0.2,0.2,2077,2762,363,0.65,0.02,0.87,0.65
346,1.61,0.7092,0.9598,346,0.7881,0.6464,8,6,-1.00,10,12,4,1,50,0.9,0.8,0.2,0.2,15002,3238,377,0.64,0.06,0.91,0.66
347,1.56,0.7099,0.9598,347,0.7882,0.6464,8,6,-1.00,30,12,4,1,50,0.9,0.8,0.2,0.2,4090,3262,378,0.62,0.04,0.90,0.66
348,1.56,0.7068,0.9624,349,0.7892,0.6472,8,6,-1.00,50,12,6,1,30,0.9,0.8,0.2,0.2,2077,3319,376,0.62,0.02,0.92,0.66
348,1.57,0.7068,0.9624,349,0.7892,0.6472,8,6,-1.00,50,12,6,1,10,0.9,0.8,0.2,0.2,2077,3319,376,0.62,0.03,0.92,0.65
349,1.54,0.7102,0.9599,349,0.7880,0.6461,8,6,-1.00,50,12,4,1,50,0.9,0.8,0.2,0.2,2077,3474,380,0.63,0.03,0.88,0.65
372,1.64,0.6997,0.9643,372,0.7817,0.6390,8,4,-1.00,30,8,6,1,50,0.9,0.8,0.2,0.2,7186,2599,404,0.63,0.03,0.98,0.64
376,1.66,0.6799,0.9638,376,0.7760,0.6322,8,4,-1.00,10,8,6,1,50,0.9,0.8,0.2,0.2,28216,2599,408,0.62,0.04,1.00,0.67
379,1.72,0.6971,0.9643,379,0.7804,0.6373,8,4,-1.00,50,8,6,1,50,0.9,0.8,0.2,0.2,3644,2675,411,0.62,0.03,1.07,0.65
382,1.67,0.6984,0.9636,382,0.7810,0.6381,8,4,-1.00,30,10,6,1,50,0.9,0.8,0.2,0.2,7186,3230,413,0.63,0.03,1.01,0.64
386,1.70,0.6783,0.9629,386,0.7750,0.6314,8,4,-1.00,10,10,6,1,50,0.9,0.8,0.2,0.2,28216,3229,417,0.64,0.04,1.02,0.70
387,1.71,0.6958,0.9639,387,0.7798,0.6365,8,4,-1.00,50,10,6,1,50,0.9,0.8,0.2,0.2,3644,3329,418,0.63,0.02,1.06,0.64
389,1.67,0.6898,0.9560,389,0.7785,0.6347,8,6,-1.00,50,8,4,1,30,0.9,0.8,0.2,0.2,2077,2515,422,0.63,0.01,1.03,0.67
393,1.72,0.6918,0.9634,393,0.7769,0.6337,8,4,-1.00,30,12,6,1,50,0.9,0.8,0.2,0.2,7186,3885,429,0.64,0.03,1.05,0.63
394,1.74,0.6872,0.9559,394,0.7754,0.6308,8,6,-1.00,50,8,4,1,10,0.9,0.8,0.2,0.2,2077,2522,428,0.63,0.02,1.09,0.65
394,1.76,0.6914,0.9558,394,0.7921,0.6507,12,6,-1.00,30,8,6,1,50,0.9,0.8,0.2,0.2,6034,3258,427,0.68,0.02,1.06,0.65
396,1.69,0.6913,0.9559,396,0.7919,0.6505,12,6,-1.00,8,8,6,1,50,0.9,0.8,0.2,0.2,28297,3256,429,0.68,0.05,0.96,0.66
396,1.80,0.6913,0.9559,396,0.7919,0.6505,12,6,-1.00,10,8,6,1,50,0.9,0.8,0.2,0.2,22221,3256,429,0.69,0.05,1.06,0.66
397,1.77,0.6917,0.9558,397,0.7919,0.6504,12,6,-1.00,50,8,6,1,50,0.9,0.8,0.2,0.2,3105,3384,430,0.70,0.01,1.06,0.67
397,1.82,0.6951,0.9572,397,0.7931,0.6519,12,6,-1.00,30,10,6,1,50,0.9,0.8,0.2,0.2,6034,4071,432,0.71,0.03,1.08,0.67
398,1.73,0.6899,0.9636,398,0.7761,0.6326,8,4,-1.00,50,12,6,1,50,0.9,0.8,0.2,0.2,3644,4001,434,0.63,0.02,1.08,0.65
398,1.80,0.6952,0.9572,398,0.7931,0.6520,12,6,-1.00,10,10,6,1,50,0.9,0.8,0.2,0.2,22221,4070,433,0.67,0.06,1.07,0.65
399,1.22,0.6950,0.9572,399,0.7931,0.6520,12,6,-1.00,8,10,6,1,50,0.9,0.8,0.2,0.2,28297,4071,434,0.64,0.07,0.51,0.65
400,1.76,0.6635,0.9617,401,0.7691,0.6247,8,4,-1.00,10,12,6,1,50,0.9,0.8,0.2,0.2,28216,3886,435,0.63,0.06,1.07,0.68
400,1.80,0.6952,0.9572,400,0.7929,0.6517,12,6,-1.00,50,10,6,1,50,0.9,0.8,0.2,0.2,3105,4228,435,0.68,0.02,1.10,0.65
401,1.67,0.6941,0.9563,402,0.7781,0.6341,8,6,-1.00,50,10,4,1,30,0.9,0.8,0.2,0.2,2077,3130,435,0.63,0.01,1.03,0.67
407,1.68,0.6916,0.9563,408,0.7750,0.6301,8,6,-1.00,50,10,4,1,10,0.9,0.8,0.2,0.2,2077,3138,442,0.64,0.01,1.03,0.64
409,1.77,0.6891,0.9646,409,0.7750,0.6310,8,4,-1.00,50,8,6,1,30,0.9,0.8,0.2,0.2,3644,2764,447,0.63,0.02,1.12,0.64
410,1.74,0.6892,0.9646,410,0.7750,0.6310,8,4,-1.00,50,8,6,1,10,0.9,0.8,0.2,0.2,3644,2764,448,0.62,0.02,1.10,0.64
411,1.84,0.6899,0.9572,413,0.7918,0.6510,12,6,-1.00,30,12,6,1,50,0.9,0.8,0.2,0.2,6034,4876,448,0.69,0.04,1.11,0.66
413,1.89,0.6901,0.9572,415,0.7918,0.6511,12,6,-1.00,10,12,6,1,50,0.9,0.8,0.2,0.2,22221,4875,450,0.69,0.07,1.13,0.66
414,1.11,0.6900,0.9572,416,0.7918,0.6511,12,6,-1.00,8,12,6,1,50,0.9,0.8,0.2,0.2,28297,4876,451,0.66,0.07,0.38,0.66
414,1.71,0.6917,0.9564,415,0.7777,0.6337,8,6,-1.00,50,12,4,1,30,0.9,0.8,0.2,0.2,2077,3750,452,0.63,0.02,1.06,0.65
414,1.80,0.6900,0.9572,416,0.7916,0.6508,12,6,-1.00,50,12,6,1,50,0.9,0.8,0.2,0.2,3105,5059,451,0.69,0.02,1.09,0.65
420,1.16,0.6907,0.9570,422,0.7918,0.6511,12,6,-1.00,8,14,6,1,50,0.9,0.8,0.2,0.2,28297,5696,457,0.65,0.09,0.42,0.68
420,1.74,0.6890,0.9562,421,0.7743,0.6294,8,6,-1.00,50,12,4,1,10,0.9,0.8,0.2,0.2,2077,3759,460,0.64,0.03,1.07,0.66
422,1.77,0.6844,0.9639,422,0.7708,0.6258,8,4,-1.00,50,10,6,1,30,0.9,0.8,0.2,0.2,3644,3442,459,0.60,0.02,1.15,0.64
423,1.83,0.6846,0.9639,423,0.7708,0.6257,8,4,-1.00,50,10,6,1,10,0.9,0.8,0.2,0.2,3644,3442,460,0.63,0.02,1.18,0.64
432,1.30,0.6932,0.9582,432,0.7898,0.6484,12,6,-1.00,8,16,6,1,50,0.9,0.8,0.2,0.2,28297,6516,471,0.64,0.11,0.55,0.64
435,1.83,0.6793,0.9638,435,0.7675,0.6220,8,4,-1.00,50,12,6,1,30,0.9,0.8,0.2,0.2,3644,4138,478,0.62,0.02,1.19,0.66
436,1.79,0.6795,0.9637,436,0.7675,0.6220,8,4,-1.00,50,12,6,1,10,0.9,0.8,0.2,0.2,3644,4138,479,0.63,0.03,1.13,0.64
438,1.90,0.6855,0.9538,438,0.7851,0.6422,12,6,-1.00,50,8,6,1,30,0.9,0.8,0.2,0.2,3105,3498,476,0.67,0.03,1.20,0.65
439,1.92,0.6859,0.9538,439,0.7852,0.6422,12,6,-1.00,50,8,6,1,10,0.9,0.8,0.2,0.2,3105,3498,477,0.68,0.01,1.23,0.65
440,1.75,0.6792,0.9579,441,0.7693,0.6242,8,4,-1.00,30,8,4,1,50,0.9,0.8,0.2,0.2,7186,2715,478,0.62,0.02,1.11,0.65
