#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
k=50
386,1.70,0.6783,0.9629,386,0.7750,0.6314,8,4,-1.00,10,10,6,1,50,0.9,0.8,0.2,0.2,28216,3229,417,0.64,0.04,1.02,0.70
387,1.71,0.6958,0.9639,387,0.7798,0.6365,8,4,-1.00,50,10,6,1,50,0.9,0.8,0.2,0.2,3644,3329,418,0.63,0.02,1.06,0.64
394,1.74,0.6872,0.9559,394,0.7754,0.6308,8,6,-1.00,50,8,4,1,10,0.9,0.8,0.2,0.2,2077,2522,428,0.63,0.02,1.09,0.65
398,1.73,0.6899,0.9636,398,0.7761,0.6326,8,4,-1.00,50,12,6,1,50,0.9,0.8,0.2,0.2,3644,4001,434,0.63,0.02,1.08,0.65
400,1.76,0.6635,0.9617,401,0.7691,0.6247,8,4,-1.00,10,12,6,1,50,0.9,0.8,0.2,0.2,28216,3886,435,0.63,0.06,1.07,0.68
401,1.67,0.6941,0.9563,402,0.7781,0.6341,8,6,-1.00,50,10,4,1,30,0.9,0.8,0.2,0.2,2077,3130,435,0.63,0.01,1.03,0.67
407,1.68,0.6916,0.9563,408,0.7750,0.6301,8,6,-1.00,50,10,4,1,10,0.9,0.8,0.2,0.2,2077,3138,442,0.64,0.01,1.03,0.64
409,1.77,0.6891,0.9646,409,0.7750,0.6310,8,4,-1.00,50,8,6,1,30,0.9,0.8,0.2,0.2,3644,2764,447,0.63,0.02,1.12,0.64
410,1.74,0.6892,0.9646,410,0.7750,0.6310,8,4,-1.00,50,8,6,1,10,0.9,0.8,0.2,0.2,3644,2764,448,0.62,0.02,1.10,0.64
414,1.71,0.6917,0.9564,415,0.7777,0.6337,8,6,-1.00,50,12,4,1,30,0.9,0.8,0.2,0.2,2077,3750,452,0.63,0.02,1.06,0.65
420,1.74,0.6890,0.9562,421,0.7743,0.6294,8,6,-1.00,50,12,4,1,10,0.9,0.8,0.2,0.2,2077,3759,460,0.64,0.03,1.07,0.66
422,1.77,0.6844,0.9639,422,0.7708,0.6258,8,4,-1.00,50,10,6,1,30,0.9,0.8,0.2,0.2,3644,3442,459,0.60,0.02,1.15,0.64
423,1.83,0.6846,0.9639,423,0.7708,0.6257,8,4,-1.00,50,10,6,1,10,0.9,0.8,0.2,0.2,3644,3442,460,0.63,0.02,1.18,0.64
