#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
k=50
709,2.49,0.5686,0.9371,710,0.7392,0.5911,12,4,-1.00,8,12,4,1,50,0.9,0.8,0.2,0.2,54760,5996,798,0.67,0.11,1.71,0.69
732,2.53,0.5635,0.9336,734,0.7380,0.5896,12,4,-1.00,8,14,4,1,50,0.9,0.8,0.2,0.2,54760,7010,820,0.67,0.14,1.72,0.69
785,1.07,0.5688,0.9287,793,0.7396,0.5917,20,4,-1.00,8,10,6,1,50,0.9,0.8,0.2,0.2,89721,7573,890,0.77,0.15,0.15,0.72
789,2.99,0.5619,0.9282,792,0.7361,0.5869,16,4,-1.00,10,8,4,1,50,0.9,0.8,0.2,0.2,54903,5054,893,0.73,0.10,2.16,0.70
791,2.76,0.5860,0.9416,792,0.7383,0.5891,8,4,-1.00,10,12,6,1,30,0.9,0.8,0.2,0.2,28216,7485,862,0.62,0.05,2.09,0.69
792,1.82,0.5581,0.9283,796,0.7346,0.5851,16,4,-1.00,8,8,4,1,50,0.9,0.8,0.2,0.2,71613,5057,897,0.71,0.11,1.00,0.71
797,3.17,0.5656,0.9253,804,0.7392,0.5904,20,4,-1.00,10,12,6,1,50,0.9,0.8,0.2,0.2,68916,9064,913,0.76,0.15,2.26,0.70
807,2.95,0.5645,0.9254,814,0.7377,0.5886,20,4,-1.00,8,12,6,1,50,0.9,0.8,0.2,0.2,89721,9077,923,0.78,0.17,2.00,0.68
824,3.16,0.5554,0.9263,829,0.7340,0.5842,16,4,-1.00,10,10,4,1,50,0.9,0.8,0.2,0.2,54903,6299,941,0.75,0.11,2.30,0.70
828,1.91,0.5520,0.9261,833,0.7326,0.5826,16,4,-1.00,8,10,4,1,50,0.9,0.8,0.2,0.2,71613,6303,945,0.70,0.12,1.09,0.69
830,3.05,0.5608,0.9226,840,0.7357,0.5864,20,4,-1.00,8,14,6,1,50,0.9,0.8,0.2,0.2,89721,10574,946,0.77,0.18,2.10,0.69
836,3.10,0.5578,0.9245,846,0.7361,0.5869,24,4,-1.00,10,8,6,1,50,0.9,0.8,0.2,0.2,82792,7276,958,0.82,0.12,2.16,0.69
843,3.06,0.5549,0.9231,852,0.7350,0.5854,24,4,-1.00,8,8,6,1,50,0.9,0.8,0.2,0.2,107892,7291,967,0.80,0.13,2.13,0.70
