K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.170184,0.633198,0.78801,0.656773,7.81,20.11,0.2,0.2,2
100,0.11199,0.606984,0.770295,0.698857,14.6,14.55,0.2,0.2,2
150,0.085821,0.585002,0.753986,0.736756,13.12,25.4,0.2,0.2,2
200,0.076032,0.572158,0.745412,0.75317,19.34,19.29,0.2,0.2,2
250,0.055206,0.561248,0.736669,0.762345,17.69,30.14,0.2,0.2,2
300,0.051894,0.551596,0.729456,0.772384,26.05,25.96,0.2,0.2,2
350,0.046594,0.543348,0.72301,0.77848,23.91,36.33,0.2,0.2,2
400,0.044469,0.539577,0.720635,0.78367,32.78,32.68,0.2,0.2,2
450,0.037862,0.53351,0.715707,0.784705,29.8,42.66,0.2,0.2,2
500,0.035106,0.525948,0.710204,0.790399,39.37,39.22,0.2,0.2,2
