K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.166165,0.636913,0.790582,0.636533,6.83,36.34,0.2,0.2,1
100,0.109289,0.602868,0.767055,0.700409,33.83,33.74,0.2,0.2,1
150,0.082055,0.583291,0.75267,0.735481,10.74,75.23,0.2,0.2,1
200,0.069169,0.571781,0.744839,0.753289,61.92,61.75,0.2,0.2,1
250,0.061865,0.56255,0.738125,0.762911,14.62,116.23,0.2,0.2,1
300,0.055347,0.553958,0.732156,0.771894,90.67,90.41,0.2,0.2,1
350,0.047847,0.546293,0.726183,0.781843,18.48,159.34,0.2,0.2,1
400,0.043085,0.538664,0.719423,0.787049,117.78,117.47,0.2,0.2,1
450,0.039743,0.533288,0.715769,0.7921,22.38,197.55,0.2,0.2,1
500,0.037152,0.528663,0.712358,0.793989,145.25,144.82,0.2,0.2,1
