k,ARI,MSE,MAE,purity,total time,embedding time,c time
50,0.15592,0.75547,0.85614,0.63505,105.409,97.510,7.899
100,0.12011,0.71879,0.83026,0.68006,108.394,97.510,10.884
150,0.09900,0.69671,0.81448,0.70493,111.137,97.510,13.627
200,0.08071,0.68787,0.80654,0.71686,112.731,97.510,15.221
250,0.07002,0.67496,0.79670,0.72509,114.559,97.510,17.049
300,0.06418,0.66368,0.78840,0.73694,117.366,97.510,19.856
350,0.05375,0.65611,0.78191,0.74743,118.649,97.510,21.139
400,0.05060,0.65077,0.77797,0.75143,120.265,97.510,22.755
450,0.04403,0.64349,0.77186,0.75587,121.931,97.510,24.421
500,0.04221,0.63722,0.76672,0.76129,123.385,97.510,25.875
