K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.171974,0.639007,0.793125,0.637583,6.15,17.61,0.2,0.2,0
100,0.11825,0.606798,0.7707,0.710629,11.25,11.21,0.2,0.2,0
150,0.090774,0.586477,0.755278,0.735899,9,20.48,0.2,0.2,0
200,0.073169,0.573461,0.746055,0.74599,13.73,13.66,0.2,0.2,0
250,0.061395,0.562569,0.738237,0.7629,11.54,23.02,0.2,0.2,0
300,0.054814,0.553276,0.731498,0.774268,17.01,16.93,0.2,0.2,0
350,0.045955,0.545976,0.725459,0.773891,14.35,25.83,0.2,0.2,0
400,0.041157,0.538871,0.719986,0.779341,19.86,19.73,0.2,0.2,0
450,0.037617,0.533008,0.715278,0.78209,16.92,28.14,0.2,0.2,0
500,0.033761,0.528236,0.711646,0.784788,23.57,23.51,0.2,0.2,0
