k,ARI,MSE,MAE,purity,total time,embedding time,c time
50,0.16675,0.77063,0.86351,0.48170,7.584253845,0.81,6.774253845
100,0.12936,0.74578,0.84507,0.57886,11.06296593,0.81,10.25296593
150,0.09961,0.72049,0.82775,0.61771,13.56847006,0.81,12.75847006
200,0.07601,0.70259,0.81470,0.62100,15.42036205,0.81,14.61036205
250,0.07179,0.68684,0.80256,0.63934,16.99711996,0.81,16.18711996
300,0.06128,0.68072,0.79643,0.64139,19.55564195,0.81,18.74564195
350,0.05527,0.67155,0.78870,0.65587,21.14832192,0.81,20.33832192
400,0.05196,0.65972,0.77881,0.66420,22.70231515,0.81,21.89231515
450,0.04558,0.65484,0.77493,0.67357,24.18622905,0.81,23.37622905
500,0.04090,0.64883,0.76975,0.67752,25.7638269,0.81,24.9538269
