K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.216342,0.634582,0.788332,0.658863,12.12,12.05,0.2,0.2,3
100,0.144334,0.604283,0.765148,0.691636,14.24,14.19,0.2,0.2,3
150,0.115113,0.585874,0.753079,0.72041,16.21,16.14,0.2,0.2,3
200,0.087111,0.567972,0.738978,0.726547,19.09,18.96,0.2,0.2,3
250,0.07518,0.559015,0.731571,0.741764,22.22,22.15,0.2,0.2,3
300,0.066463,0.548677,0.72403,0.748673,26.86,26.76,0.2,0.2,3
350,0.060775,0.541383,0.716943,0.756,30.21,30.1,0.2,0.2,3
400,0.054919,0.533249,0.711406,0.762585,35.02,34.91,0.2,0.2,3
450,0.048151,0.526224,0.70636,0.77789,42.89,42.74,0.2,0.2,3
500,0.043205,0.520883,0.701378,0.776595,45.85,45.69,0.2,0.2,3
