Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
999,0.029852,0.147438,45.61,46.01,1000,10,10,0.50,0.30,0,0.00,0.00,4.56,4.60,45.61,46.01
1996,0.025038,0.131812,84.09,84.14,2000,10,10,0.50,0.30,0,0.00,0.00,8.41,8.41,84.09,84.14
2996,0.022356,0.122972,126.73,126.58,3000,10,10,0.50,0.30,0,0.01,0.01,12.67,12.66,126.73,126.58
3989,0.020539,0.116708,170.03,169.67,4000,10,10,0.50,0.30,0,0.01,0.01,17.00,16.97,170.03,169.67
4987,0.019202,0.112035,223.16,220.39,5000,10,10,0.50,0.30,0,0.01,0.01,22.32,22.04,223.16,220.39
5985,0.018209,0.108445,275.31,271.86,6000,10,10,0.50,0.30,0,0.01,0.00,27.53,27.19,275.31,271.86
6984,0.017364,0.105412,332.36,329.01,7000,10,10,0.50,0.30,0,0.01,0.01,33.24,32.90,332.36,329.01
7980,0.016731,0.103005,435.55,431.95,8000,10,10,0.50,0.30,0,0.01,0.01,43.55,43.19,435.55,431.95
8969,0.016178,0.100820,600.04,593.98,9000,10,10,0.50,0.30,0,0.01,0.00,60.00,59.40,600.04,593.98
9957,0.015664,0.098914,786.74,780.33,10000,10,10,0.50,0.30,0,0.01,0.01,78.67,78.03,786.75,780.33

K-Means++
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.027939,0.146478,105.75,381.74,1000,10,10,0.50,0.30,1,58.07,334.55,4.77,4.72,105.75,381.74
2000,0.022852,0.129731,204.70,757.38,2000,10,10,0.50,0.30,1,118.51,671.83,8.62,8.55,204.71,757.38
2999,0.020124,0.120388,306.04,1132.31,3000,10,10,0.50,0.30,1,175.71,1002.36,13.03,12.99,306.05,1132.31
3998,0.018422,0.114235,415.56,1519.54,4000,10,10,0.50,0.30,1,236.91,1341.62,17.87,17.79,415.56,1519.54
4995,0.017113,0.109353,526.25,1900.06,5000,10,10,0.50,0.30,1,291.74,1669.20,23.45,23.09,526.26,1900.06
5995,0.016086,0.105385,645.97,2300.90,6000,10,10,0.50,0.30,1,355.82,2014.76,29.01,28.61,645.97,2300.90
6991,0.015210,0.102073,764.55,2690.69,7000,10,10,0.50,0.30,1,409.24,2339.59,35.53,35.11,764.55,2690.69
7990,0.014583,0.099632,909.78,3125.27,8000,10,10,0.50,0.30,1,474.63,2694.19,43.52,43.11,909.78,3125.27
8989,0.013977,0.097190,1113.54,3587.92,9000,10,10,0.50,0.30,1,532.93,3014.28,58.06,57.36,1113.54,3587.92
