K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
991,0.048492,0.194056,54.45,55.85,1000,10,10,0.10,0.10,0,0.00,0.00,5.44,5.58,54.45,55.85
993,0.037306,0.167230,46.74,47.55,1000,10,9,0.10,0.20,0,0.00,0.00,5.18,5.29,51.82,52.88
995,0.032915,0.155978,49.78,50.68,1000,10,10,0.10,0.30,0,0.00,0.00,4.98,5.07,49.78,50.68
997,0.031073,0.150623,48.43,49.20,1000,10,10,0.10,0.40,0,0.00,0.01,4.84,4.92,48.43,49.20
996,0.030157,0.148596,47.03,47.71,1000,10,10,0.10,0.50,0,0.00,0.00,4.70,4.77,47.03,47.71
999,0.030502,0.150362,46.31,46.99,1000,10,10,0.10,0.60,0,0.00,0.00,4.63,4.70,46.31,46.99
996,0.031474,0.153633,45.31,45.90,1000,10,10,0.10,0.70,0,0.00,0.00,4.53,4.59,45.31,45.90
990,0.034086,0.161290,44.88,45.58,1000,10,10,0.10,0.80,0,0.00,0.00,4.49,4.56,44.88,45.58
964,0.041565,0.182398,43.41,44.12,1000,10,10,0.10,0.90,0,0.00,0.00,4.34,4.41,43.41,44.12
999,0.035217,0.161352,49.63,50.67,1000,10,10,0.20,0.10,0,0.00,0.01,4.96,5.07,49.64,50.67
998,0.033740,0.157585,49.24,50.09,1000,10,10,0.20,0.20,0,0.00,0.00,4.92,5.01,49.24,50.09
998,0.031115,0.150443,47.76,48.62,1000,10,10,0.20,0.30,0,0.00,0.00,4.78,4.86,47.76,48.62
997,0.030088,0.147664,46.62,47.38,1000,10,10,0.20,0.40,0,0.00,0.00,4.66,4.74,46.62,47.38
999,0.029847,0.147263,46.55,47.20,1000,10,10,0.20,0.50,0,0.00,0.00,4.65,4.72,46.55,47.20
999,0.030338,0.149591,45.30,45.87,1000,10,10,0.20,0.60,0,0.00,0.01,4.53,4.59,45.30,45.87
997,0.031642,0.153683,45.22,45.76,1000,10,10,0.20,0.70,0,0.00,0.00,4.52,4.58,45.22,45.76
987,0.034452,0.162153,44.37,45.03,1000,10,10,0.20,0.80,0,0.00,0.00,4.44,4.50,44.37,45.03
962,0.041911,0.183439,39.28,39.75,1000,10,9,0.20,0.90,0,0.00,0.00,4.33,4.40,43.31,44.02
1000,0.031056,0.150354,42.91,43.51,1000,10,9,0.30,0.10,0,0.00,0.00,4.74,4.83,47.44,48.26
1000,0.031132,0.150556,42.84,43.42,1000,10,9,0.30,0.20,0,0.00,0.00,4.74,4.82,47.37,48.18
999,0.030560,0.149100,47.10,47.79,1000,10,10,0.30,0.30,0,0.00,0.00,4.71,4.78,47.10,47.79
999,0.029945,0.147463,46.60,47.37,1000,10,10,0.30,0.40,0,0.00,0.01,4.66,4.74,46.60,47.37
998,0.030046,0.147986,45.57,46.23,1000,10,10,0.30,0.50,0,0.00,0.00,4.56,4.62,45.57,46.23
