#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
5482,34.36,0.118853,0.318203,5485,0.121507,0.021897,8,4,-1.00,30,8,4,1,30,0.9,0.8,0.5,0.3,30559,26658,6367,1.06,3.49,29.81,1.29
3399,21.07,0.125226,0.352342,3402,0.131465,0.025140,8,4,-1.00,30,8,4,1,50,0.9,0.8,0.5,0.3,30559,15464,3948,1.07,3.44,16.56,1.25
4172,25.23,0.123587,0.341865,4174,0.128847,0.024091,8,4,-1.00,30,8,6,1,30,0.9,0.8,0.5,0.3,30559,20449,4740,1.06,3.06,21.11,1.25
2562,16.02,0.130322,0.378435,2562,0.140211,0.028007,8,4,-1.00,30,8,6,1,50,0.9,0.8,0.5,0.3,30559,11575,2897,1.06,2.99,11.97,1.25
5695,36.88,0.117838,0.314881,5701,0.120309,0.021557,8,4,-1.00,30,10,4,1,30,0.9,0.8,0.5,0.3,30559,33385,6657,1.07,4.15,31.66,1.33
3569,22.93,0.124256,0.346774,3571,0.130068,0.024701,8,4,-1.00,30,10,4,1,50,0.9,0.8,0.5,0.3,30559,19381,4170,1.05,4.12,17.76,1.24
4352,26.96,0.122676,0.337384,4354,0.127674,0.023726,8,4,-1.00,30,10,6,1,30,0.9,0.8,0.5,0.3,30559,25557,4965,1.06,3.66,22.24,1.27
2692,17.30,0.129060,0.371496,2692,0.138455,0.027441,8,4,-1.00,30,10,6,1,50,0.9,0.8,0.5,0.3,30559,14437,3055,1.05,3.65,12.60,1.26
5960,40.21,0.117767,0.310333,5961,0.119088,0.021171,8,4,-1.00,30,12,4,1,30,0.9,0.8,0.5,0.3,30559,39979,7019,1.07,4.86,34.28,1.31
3744,24.96,0.123974,0.342366,3744,0.128734,0.024312,8,4,-1.00,30,12,4,1,50,0.9,0.8,0.5,0.3,30559,23216,4408,1.04,4.87,19.05,1.24
4563,29.14,0.121619,0.333960,4565,0.126584,0.023393,8,4,-1.00,30,12,6,1,30,0.9,0.8,0.5,0.3,30559,30630,5253,1.06,4.28,23.80,1.30
2831,18.74,0.128090,0.369626,2832,0.136694,0.026828,8,4,-1.00,30,12,6,1,50,0.9,0.8,0.5,0.3,30559,17302,3248,1.06,4.31,13.37,1.26
4591,28.76,0.123087,0.332198,4597,0.125122,0.023014,8,4,-1.00,40,8,4,1,30,0.9,0.8,0.5,0.3,24108,21225,5338,1.05,3.33,24.38,1.30
3409,21.15,0.125372,0.352078,3413,0.131405,0.025128,8,4,-1.00,40,8,4,1,50,0.9,0.8,0.5,0.3,24108,15536,3951,1.09,3.41,16.65,1.27
