Parameters currently used
#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
5248,38.54,0.1088,0.3264,5251,0.1169,0.0219,16,6,-1.00,30,10,6,1,50,0.9,0.8,0.5,0.3,76640,36714,6987,1.04,5.42,32.08,1.68
6988,79.71,0.1043,0.2953,6995,0.1278,0.0286,16,6,-1.00,50,10,4,1,50,0.9,0.8,0.5,0.3,48747,49080,9696,1.07,5.26,73.38,1.96
8222,114.04,0.1017,0.2791,8242,0.1221,0.0266,20,6,-1.00,50,8,4,1,50,0.9,0.8,0.5,0.3,61017,51478,11591,1.13,5.52,107.39,1.82
9526,142.66,0.1116,0.2647,9558,0.1193,0.0245,24,4,-1.00,30,12,4,1,50,0.9,0.8,0.5,0.3,87817,77586,12945,1.18,11.66,129.82,2.34
10887,178.67,0.0981,0.2650,10908,0.1137,0.0233,16,6,-1.00,30,8,4,1,30,0.9,0.8,0.5,0.3,76640,66979,14773,1.05,4.74,172.88,2.34
11964,234.35,0.0984,0.2547,11999,0.1220,0.0279,20,6,-1.00,40,10,4,1,30,0.9,0.8,0.5,0.3,74355,90848,17091,1.14,7.08,226.13,2.38
12573,263.24,0.0981,0.2521,12614,0.1195,0.0266,20,6,-1.00,40,12,4,1,30,0.9,0.8,0.5,0.3,74355,109023,18295,1.16,8.37,253.71,2.69
13872,275.61,0.1062,0.2422,13958,0.1187,0.0257,28,4,-1.00,40,10,4,1,30,0.9,0.8,0.5,0.3,80233,108617,19077,1.28,10.92,263.41,3.15
14603,308.91,0.1054,0.2397,14695,0.1166,0.0247,28,4,-1.00,40,12,4,1,30,0.9,0.8,0.5,0.3,80233,130463,20388,1.27,12.94,294.70,4.82
15114,358.43,0.0965,0.2398,15183,0.1126,0.0240,28,6,-1.00,40,8,4,1,30,0.9,0.8,0.5,0.3,102793,105207,22299,1.30,7.72,349.41,4.80

Parameters for all
