K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.028028,0.145797,68.89,71.74,1000,10,6,0.50,0.30,2,41.57,43.22,4.54,4.74,87.01,90.60
1999,0.022580,0.127986,174.63,186.32,2000,10,6,0.50,0.30,2,124.35,135.01,8.35,8.53,207.86,220.26
2998,0.019825,0.118741,324.81,358.46,3000,10,6,0.50,0.30,2,247.20,279.90,12.91,13.06,376.32,410.50
3998,0.017963,0.112048,498.52,555.58,4000,10,6,0.50,0.30,2,391.05,447.24,17.82,17.95,569.21,626.79
4999,0.016804,0.107837,678.49,750.50,5000,10,6,0.50,0.30,2,538.74,611.57,23.25,23.13,771.28,842.87
5998,0.015814,0.104104,844.73,945.37,6000,10,6,0.50,0.30,2,672.54,774.14,28.59,28.43,958.40,1058.44
7000,0.014981,0.100745,1044.00,1224.70,7000,10,6,0.50,0.30,2,834.87,1016.69,34.85,34.65,1183.35,1363.19
7997,0.014272,0.098079,1138.46,1359.70,8000,10,6,0.50,0.30,2,881.17,1103.69,42.63,42.45,1307.49,1528.23
8996,0.013655,0.095611,1426.90,1683.20,9000,10,6,0.50,0.30,2,1064.55,1324.48,59.53,59.00,1659.82,1914.44
9997,0.013138,0.093500,1705.63,2003.37,10000,10,6,0.50,0.30,2,1227.33,1528.35,78.76,78.25,2014.89,2310.84
