K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.033238,0.158118,46.38,48.31,1000,10,1,0.50,0.30,2,41.57,43.22,4.54,4.74,87.01,90.60
2000,0.027065,0.139466,133.30,144.21,2000,10,1,0.50,0.30,2,124.35,135.01,8.35,8.53,207.86,220.26
3000,0.023909,0.130052,261.12,294.09,3000,10,1,0.50,0.30,2,247.20,279.90,12.91,13.06,376.32,410.50
4000,0.021594,0.122159,410.04,466.45,4000,10,1,0.50,0.30,2,391.05,447.24,17.82,17.95,569.21,626.79
5000,0.020236,0.117437,563.63,636.17,5000,10,1,0.50,0.30,2,538.74,611.57,23.25,23.13,771.28,842.87
6000,0.019007,0.113179,702.97,804.28,6000,10,1,0.50,0.30,2,672.54,774.14,28.59,28.43,958.40,1058.44
7000,0.018105,0.109894,832.02,1053.69,7000,10,1,0.50,0.30,2,834.87,1016.69,34.85,34.65,1183.35,1363.19
8000,0.017227,0.106778,950.52,1152.78,8000,10,1,0.50,0.30,2,881.17,1103.69,42.63,42.45,1307.49,1528.23
9000,0.016468,0.104083,1135.15,1394.23,9000,10,1,0.50,0.30,2,1064.55,1324.48,59.53,59.00,1659.82,1914.44
10000,0.015814,0.101506,1318.91,1619.30,10000,10,1,0.50,0.30,2,1227.33,1528.35,78.76,78.25,2014.89,2310.84
