K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.027986,0.146590,88.05,363.30,1000,10,6,0.50,0.30,1,58.07,334.55,4.77,4.72,105.75,381.74
2000,0.022972,0.130046,171.74,723.76,2000,10,6,0.50,0.30,1,118.51,671.83,8.62,8.55,204.71,757.38
2999,0.020192,0.120584,255.35,1080.96,3000,10,6,0.50,0.30,1,175.71,1002.36,13.03,12.99,306.05,1132.31
3998,0.018498,0.114471,345.73,1449.16,4000,10,6,0.50,0.30,1,236.91,1341.62,17.87,17.79,415.56,1519.54
4995,0.017164,0.109498,434.31,1808.71,5000,10,6,0.50,0.30,1,291.74,1669.20,23.45,23.09,526.26,1900.06
5995,0.016137,0.105548,531.93,2187.81,6000,10,6,0.50,0.30,1,355.82,2014.76,29.01,28.61,645.97,2300.90
6991,0.015248,0.102186,624.11,2551.15,7000,10,6,0.50,0.30,1,409.24,2339.59,35.53,35.11,764.55,2690.69
7990,0.014621,0.099758,738.50,2954.87,8000,10,6,0.50,0.30,1,474.63,2694.19,43.52,43.11,909.78,3125.27
8989,0.014019,0.097325,886.33,3362.26,9000,10,6,0.50,0.30,1,532.93,3014.28,58.06,57.36,1113.54,3587.92
9987,0.013481,0.095126,1054.91,3813.53,10000,10,6,0.50,0.30,1,593.66,3357.24,75.82,75.10,1351.87,4108.25
