K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.034539,0.162325,65.92,340.23,1000,10,1,0.50,0.30,1,58.07,334.55,4.77,4.72,105.75,381.74
2000,0.028500,0.144482,130.35,681.64,2000,10,1,0.50,0.30,1,118.51,671.83,8.62,8.55,204.71,757.38
3000,0.025198,0.134120,192.28,1017.06,3000,10,1,0.50,0.30,1,175.71,1002.36,13.03,12.99,306.05,1132.31
4000,0.023147,0.127417,258.41,1361.12,4000,10,1,0.50,0.30,1,236.91,1341.62,17.87,17.79,415.56,1519.54
5000,0.021560,0.122210,319.36,1694.43,5000,10,1,0.50,0.30,1,291.74,1669.20,23.45,23.09,526.26,1900.06
6000,0.020288,0.117674,388.96,2045.87,6000,10,1,0.50,0.30,1,355.82,2014.76,29.01,28.61,645.97,2300.90
7000,0.019258,0.114067,449.99,2377.99,7000,10,1,0.50,0.30,1,409.24,2339.59,35.53,35.11,764.55,2690.69
8000,0.018405,0.110997,528.07,2745.31,8000,10,1,0.50,0.30,1,474.63,2694.19,43.52,43.11,909.78,3125.27
9000,0.017651,0.108271,605.36,3083.62,9000,10,1,0.50,0.30,1,532.93,3014.28,58.06,57.36,1113.54,3587.92
10000,0.016972,0.105740,684.29,3445.40,10000,10,1,0.50,0.30,1,593.66,3357.24,75.82,75.10,1351.87,4108.25
