K,MSE,MAE,Total_Time,Embed_Time,C_Time,GA,LA
1000,0.03037,0.14707,1771.15,1657.85,113.30,0.5,0.3
1998,0.02609,0.13435,1905.78,1657.85,247.93,0.5,0.3
2995,0.02383,0.12655,2010.05,1657.85,352.20,0.5,0.3
3983,0.02233,0.12149,2109.93,1657.85,452.08,0.5,0.3
4964,0.02133,0.11778,2210.35,1657.85,552.50,0.5,0.3
5941,0.02044,0.11458,2309.07,1657.85,651.22,0.5,0.3
6906,0.01973,0.11215,2409.42,1657.85,751.57,0.5,0.3
7845,0.01929,0.11046,2519.78,1657.85,861.93,0.5,0.3
8789,0.01883,0.10857,2607.72,1657.85,949.87,0.5,0.3
9773,0.01838,0.10698,2727.79,1657.85,1069.94,0.5,0.3
