K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
999,0.029852,0.147438,45.61,46.01,1000,10,10,0.50,0.30,0,0.00,0.00,4.56,4.60,45.61,46.01
1996,0.025038,0.131812,84.09,84.14,2000,10,10,0.50,0.30,0,0.00,0.00,8.41,8.41,84.09,84.14
2996,0.022356,0.122972,126.73,126.58,3000,10,10,0.50,0.30,0,0.01,0.01,12.67,12.66,126.73,126.58
3989,0.020539,0.116708,170.03,169.67,4000,10,10,0.50,0.30,0,0.01,0.01,17.00,16.97,170.03,169.67
4987,0.019202,0.112035,223.16,220.39,5000,10,10,0.50,0.30,0,0.01,0.01,22.32,22.04,223.16,220.39
5985,0.018209,0.108445,275.31,271.86,6000,10,10,0.50,0.30,0,0.01,0.00,27.53,27.19,275.31,271.86
6984,0.017364,0.105412,332.36,329.01,7000,10,10,0.50,0.30,0,0.01,0.01,33.24,32.90,332.36,329.01
7980,0.016731,0.103005,435.55,431.95,8000,10,10,0.50,0.30,0,0.01,0.01,43.55,43.19,435.55,431.95
8969,0.016178,0.100820,600.04,593.98,9000,10,10,0.50,0.30,0,0.01,0.00,60.00,59.40,600.04,593.98
9957,0.015664,0.098914,786.74,780.33,10000,10,10,0.50,0.30,0,0.01,0.01,78.67,78.03,786.75,780.33
