K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.037805,0.167520,6.85,5.56,1000,10,1,0.50,0.30,0,0.00,0.00,4.56,4.60,45.61,46.01
1999,0.031798,0.149035,10.89,9.53,2000,10,1,0.50,0.30,0,0.00,0.00,8.41,8.41,84.09,84.14
2997,0.028588,0.138906,15.55,14.13,3000,10,1,0.50,0.30,0,0.01,0.01,12.67,12.66,126.73,126.58
3993,0.026515,0.132311,20.25,18.76,4000,10,1,0.50,0.30,0,0.01,0.01,17.00,16.97,170.03,169.67
4991,0.024703,0.126705,25.41,23.73,5000,10,1,0.50,0.30,0,0.01,0.01,22.32,22.04,223.16,220.39
5988,0.023468,0.122647,30.99,29.24,6000,10,1,0.50,0.30,0,0.01,0.00,27.53,27.19,275.31,271.86
6985,0.022528,0.119481,37.51,35.78,7000,10,1,0.50,0.30,0,0.01,0.01,33.24,32.90,332.36,329.01
7983,0.021603,0.116537,52.13,50.34,8000,10,1,0.50,0.30,0,0.01,0.01,43.55,43.19,435.55,431.95
8978,0.020967,0.114301,71.37,69.32,9000,10,1,0.50,0.30,0,0.01,0.00,60.00,59.40,600.04,593.98
9967,0.020258,0.112050,90.02,87.96,10000,10,1,0.50,0.30,0,0.01,0.01,78.67,78.03,786.75,780.33
