K,MSE,MAE,Total_Time,Embed_Time,C_Time,GA,LA
1000,0.0306,0.1450,161.90,52.44,109.46,0.5,0.3
1998,0.0253,0.1289,263.04,52.44,210.60,0.5,0.3
2995,0.0229,0.1212,346.05,52.44,293.61,0.5,0.3
3992,0.0209,0.1149,430.43,52.44,377.99,0.5,0.3
4996,0.0201,0.1117,514.28,52.44,461.84,0.5,0.3
5985,0.0194,0.1098,598.32,52.44,545.88,0.5,0.3
6986,0.0186,0.1067,683.83,52.44,631.39,0.5,0.3
7989,0.0181,0.1052,777.59,52.44,725.15,0.5,0.3
8980,0.0178,0.1040,817.54,52.44,765.10,0.5,0.3
9969,0.0169,0.1006,948.91,52.44,896.47,0.5,0.3
