K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.028248,0.144344,42.34,46.29,1000,10,4,0.50,0.30,3,25.29,28.24,4.24,4.49,67.71,73.12
2000,0.023124,0.127642,70.76,80.09,2000,10,4,0.50,0.30,3,39.32,47.90,7.81,8.00,117.46,127.87
3000,0.020336,0.118473,109.19,126.12,3000,10,3,0.50,0.30,3,72.19,88.60,12.11,12.27,193.27,211.27
4000,0.018656,0.112519,135.78,159.99,4000,10,3,0.50,0.30,3,83.53,107.24,17.24,17.41,255.97,281.29
5000,0.017618,0.108055,164.38,197.75,5000,10,2,0.50,0.30,3,119.31,153.01,22.52,22.37,344.49,376.67
6000,0.016611,0.104194,206.15,262.49,6000,10,2,0.50,0.30,3,150.96,207.56,27.50,27.28,425.94,480.34
7000,0.015727,0.101183,262.36,321.53,7000,10,2,0.50,0.30,3,197.18,256.93,32.85,32.61,525.71,582.98
8000,0.014975,0.098357,342.36,426.49,8000,10,2,0.50,0.30,3,258.25,342.83,42.02,41.76,678.48,760.47
9000,0.014380,0.096292,435.96,543.99,9000,10,2,0.50,0.30,3,316.09,425.30,59.97,59.40,915.82,1019.32
10000,0.013848,0.094062,552.74,662.98,10000,10,3,0.50,0.30,3,318.05,430.34,78.20,77.54,1100.10,1205.73
