K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.030208,0.148919,29.38,32.62,1000,10,1,0.50,0.30,3,25.29,28.24,4.24,4.49,67.71,73.12
2000,0.024163,0.130363,46.77,55.56,2000,10,1,0.50,0.30,3,39.32,47.90,7.81,8.00,117.46,127.87
3000,0.021001,0.120299,85.04,101.65,3000,10,1,0.50,0.30,3,72.19,88.60,12.11,12.27,193.27,211.27
4000,0.019381,0.114384,101.05,124.92,4000,10,1,0.50,0.30,3,83.53,107.24,17.24,17.41,255.97,281.29
5000,0.018030,0.109334,141.90,175.35,5000,10,1,0.50,0.30,3,119.31,153.01,22.52,22.37,344.49,376.67
6000,0.016996,0.105327,178.61,235.15,6000,10,1,0.50,0.30,3,150.96,207.56,27.50,27.28,425.94,480.34
7000,0.016094,0.102343,229.65,289.11,7000,10,1,0.50,0.30,3,197.18,256.93,32.85,32.61,525.71,582.98
8000,0.015321,0.099519,300.17,384.41,8000,10,1,0.50,0.30,3,258.25,342.83,42.02,41.76,678.48,760.47
9000,0.014733,0.097410,375.93,484.33,9000,10,1,0.50,0.30,3,316.09,425.30,59.97,59.40,915.82,1019.32
10000,0.014338,0.095631,396.12,507.58,10000,10,1,0.50,0.30,3,318.05,430.34,78.20,77.54,1100.10,1205.73
