Data Sets,n,d,N,#Ave Dim,Sparsity,Data Size,,
Day_0,195841983,882774549,4777944242,24.40,0.0000000276,19.26,19721,19.26
Day_1,199563535,882774549,4867234592,24.39,0.0000000276,19.62,20090,19.62
Day_2,196792019,882774549,4797567246,24.38,0.0000000276,19.34,19803,19.34
Day_3,181115208,882774549,4407094188,24.33,0.0000000276,17.77,18194,17.77
Day_4,152115810,882774549,3689517734,24.25,0.0000000275,14.88,15235,14.88
Day_5,172548507,882774549,4192950648,24.30,0.0000000275,16.91,17312,16.91
Day_6,204846845,882774549,5001408594,24.42,0.0000000277,20.16,20642,20.16
Day_7,200801003,882774549,4902528446,24.41,0.0000000277,19.76,20234,19.76
Day_8,193772492,882774549,4725989248,24.39,0.0000000276,19.05,19507,19.05
Day_9,198424372,882774549,4842787714,24.41,0.0000000276,19.52,19988,19.52
Day_10,185778055,882774549,4522877184,24.35,0.0000000276,18.23,18671,18.23
Day_11,153588700,882774549,3728078172,24.27,0.0000000275,15.03,15394,15.03
Day_12,169003364,882774549,4107976312,24.31,0.0000000275,16.56,16961,16.56
Day_13,194216520,882774549,4727578122,24.34,0.0000000276,19.06,19517,19.06
Day_14,194081279,882774549,4720871952,24.32,0.0000000276,19.03,19490,19.03
Day_15,187154596,882774549,4557092400,24.35,0.0000000276,18.37,18812,18.37
Day_16,177984934,882774549,4332059292,24.34,0.0000000276,17.46,17884,17.46
Day_17,163382602,882774549,3964577264,24.27,0.0000000275,15.99,16371,15.99
Day_18,142061091,882774549,3438398392,24.20,0.0000000274,13.87,14201,13.87
Day_19,156534237,882774549,3796685868,24.25,0.0000000275,15.31,15678,15.31
Day_20,193627464,882774549,4717796342,24.37,0.0000000276,19.02,19475,19.02
Day_21,192215183,882774549,4685790908,24.38,0.0000000276,18.89,19342,18.89
Day_22,189747893,882774549,4627291274,24.39,0.0000000276,18.65,19100,18.65
Total,4195197692,882774549,102132096134,24.35,0.0000000276,411.73,,
,,,,,,,,
Test Set,n,d,N,#Ave Dim,Sparsity,Data Size,,
Day_23,178274637,882774549,4339977786,24.34,0.0000000276,17.50,17916,17.50
,,,,,,,,
,,,,,,,,
,,,,,,,,
Day_0,195841983,882774549,4777944242,,,19.26,,
Day_1,199563535,882774549,4867234592,,,19.62,,
Day_2,196792019,882774549,4797567246,,,19.34,,
Day_3,181115208,882774549,4407094188,,,17.77,,
Day_4,152115810,882774549,3689517734,,,14.88,,
Day_5,172548507,882774549,4192950648,,,16.91,,
,1097977062,,26732308650,,,107.766176708043,,
